PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;867;Waalwijk;Noord-Brabant;Sbo;Rooms-Katholiek;71008;3693,46496815287;157
20171001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;86;Opsterland;Friesland;So;Algemeen bijzonder;42665;20220,6578947368;114
20171001;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;86;Opsterland;Friesland;Vso;Algemeen bijzonder;42665;23823,4705882353;85
20171001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN;861;Veldhoven;Noord-Brabant;So;Rooms-Katholiek;77338;6566,91549295775;71
20171001;00LH;00;Prins W Alexanderschool;5504NC;VELDHOVEN;861;Veldhoven;Noord-Brabant;Vso;Rooms-Katholiek;77338;6695,03125;128
20171001;00LS;00;SBO Het Palet;6006AH;WEERT;988;Weert;Limburg;Sbo;Rooms-Katholiek;50819;3770,81981981982;111
20171001;00MI;00;SSBO De Piramide;5531BX;BLADEL;1728;Bladel;Noord-Brabant;Sbo;Rooms-Katholiek;44201;7294,64429530201;150
20171001;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Sbo;Protestants-Christelijk;80433;4360,52066115702;121
20171001;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG;160;Hardenberg;Overijssel;Sbo;Protestants-Christelijk;40946;5025,37903225806;127
20171001;00MU;00;SO De Zwaai;9201JE;DRACHTEN;90;Smallingerland;Friesland;So;Algemeen bijzonder;41414;8907,61666666667;60
20171001;00MU;07;De Witakker;8608WK;SNEEK;1900;Sudwest-Fryslan;Friesland;So;Algemeen bijzonder;41414;11582;10
20171001;00MU;08;De Witakker;8601XC;SNEEK;1900;Sudwest-Fryslan;Friesland;So;Algemeen bijzonder;41414;9567,36363636364;11
20171001;00MU;09;De Witakker;8601ZP;SNEEK;1900;Sudwest-Fryslan;Friesland;Vso;Algemeen bijzonder;41414;10932,1153846154;26
20171001;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;715;Terneuzen;Zeeland;Sbo;Algemeen bijzonder;40876;6875,95454545455;110
20171001;00NT;00;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;So;Algemeen bijzonder;30968;8308,82165605096;157
20171001;00NT;01;Prof Dr Leo Kannerschool;2713VM;ZOETERMEER;637;Zoetermeer;Zuid-Holland;So;Algemeen bijzonder;30968;3458,93421052632;77
20171001;00NT;02;Prof. Dr. Leo Kannerschool;2352CZ;LEIDERDORP;547;Leiderdorp;Zuid-Holland;Vso;Algemeen bijzonder;30968;9263,89147286822;129
20171001;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;546;Leiden;Zuid-Holland;Vso;Algemeen bijzonder;30968;9437,59661016949;295
20171001;00NT;05;Prof Dr Leo Kannerschool;2343SZ;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;Vso;Algemeen bijzonder;30968;12441,2385964912;285
20171001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;So;Algemeen bijzonder;30968;10089,625;32
20171001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;Vso;Algemeen bijzonder;30968;11957,4827586207;29
20171001;00NY;00;SSBO De Veste;4691CK;THOLEN;716;Tholen;Zeeland;Sbo;Algemeen bijzonder;40876;6120,80487804878;41
20171001;00OJ;00;Klimopschool;4335XG;MIDDELBURG;687;Middelburg;Zeeland;So;Algemeen bijzonder;41312;5044,57777777778;45
20171001;00OJ;00;Klimopschool;4335XG;MIDDELBURG;687;Middelburg;Zeeland;Vso;Algemeen bijzonder;41312;5107,31313131313;99
