PEILDATUM_LEERLINGEN;PRIKDATUM_ADVIEZEN;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;VSO;PRO;VMBO_B;VMBO_B_K;VMBO_K;VMBO_K_GT;VMBO_GT;VMBO_GT_HAVO;HAVO;HAVO_VWO;VWO;ADVIES_NIET_MOGELIJK;TOTAAL_ADVIES
20170415;20170722;03NZ;00;RK Basissch D Krullevaar;2871CV;SCHOONHOVEN;1931;Krimpenerwaard;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;1;1;0;0;1;4;2;2;2;0;13
20170415;20170722;03OA;00;Basissch Petrus Dathenus;1222VC;HILVERSUM; 402;Hilversum;Noord-Holland;Bo;Reformatorisch;38872;0;0;1;0;0;0;0;0;1;1;2;0;5
20170415;20170722;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN; 986;Voerendaal;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;1;5;3;4;9;0;23
20170415;20170722;03OC;00;OEC De Welp;7475CX;MARKELO;1735;Hof van Twente;Overijssel;Bo;Protestants-Christelijk;27910;0;0;0;0;3;0;7;0;4;0;6;0;20
20170415;20170722;03OJ;00;Ds J Groenewegenschool;4251GD;WERKENDAM; 870;Werkendam;Noord-Brabant;Bo;Reformatorisch;39275;0;0;6;4;9;2;6;11;19;4;12;0;73
20170415;20170722;03OK;00;BS De Zuidstroom;5912XW;VENLO; 983;Venlo;Limburg;Bo;Rooms-Katholiek;41018;0;1;4;0;4;0;9;0;9;0;7;0;34
20170415;20170722;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;1669;Roerdalen;Limburg;Bo;Rooms-Katholiek;41692;1;0;2;1;6;2;9;3;8;3;8;0;43
20170415;20170722;03ON;00;St Gerardus Majella;9602GX;HOOGEZAND;  18;Hoogezand-Sappemeer;Groningen;Bo;Rooms-Katholiek;45000;0;1;2;2;2;0;6;0;4;0;0;0;17
20170415;20170722;03OP;00;Basisschool St Oda;6217KM;MAASTRICHT; 935;Maastricht;Limburg;Bo;Rooms-Katholiek;41373;0;0;1;1;3;2;5;5;3;3;3;0;26
20170415;20170722;03OR;00;GBS De Sterrenpracht;4571TV;AXEL; 715;Terneuzen;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;1;1;3;3;2;4;3;0;18
20170415;20170722;03OT;00;RK BSO De Meule;5914XS;VENLO; 983;Venlo;Limburg;Bo;Rooms-Katholiek;41018;0;0;0;0;9;0;11;0;13;0;12;0;45
20170415;20170722;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN; 267;Nijkerk;Gelderland;Bo;Rooms-Katholiek;39912;0;0;2;0;2;0;9;2;5;7;5;0;32
20170415;20170722;03PC;00;RK BS Teresia;5141HK;WAALWIJK; 867;Waalwijk;Noord-Brabant;Bo;Rooms-Katholiek;71008;0;0;1;0;4;0;2;3;2;2;2;0;16
20170415;20170722;03PD;00;Basisschool De Octopus;6071VP;SWALMEN; 957;Roermond;Limburg;Bo;Rooms-Katholiek;41692;0;0;3;1;2;1;8;9;1;1;6;0;32
20170415;20170722;03PE;00;SSBO t Palet;1613PN;GROOTEBROEK; 532;Stede Broec;Noord-Holland;Sbo;Algemeen bijzonder;42721;16;14;16;0;5;0;1;0;0;0;0;0;52
20170415;20170722;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ; 965;Simpelveld;Limburg;Bo;Rooms-Katholiek;41516;0;1;1;1;8;0;12;3;4;6;7;0;43
20170415;20170722;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;1884;Kaag en Braassem;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;0;0;0;4;2;8;9;8;6;11;0;48
20170415;20170722;03PJ;00;Basissch St Joan;6027PL;SOERENDONK;1706;Cranendonck;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;3;1;2;0;5;1;0;0;3;0;15
20170415;20170722;03PK;00;Basissch Sint Agnes;5106NE;DONGEN; 766;Dongen;Noord-Brabant;Bo;Rooms-Katholiek;40672;0;0;1;0;2;0;3;0;5;0;1;0;12
20170415;20170722;03PL;00;RK Bs St Jozef;4759BD;NOORDHOEK;1709;Moerdijk;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;0;2;1;0;3;2;0;5;0;14
20170415;20170722;03PM;00;RK Basissch De Wegwijzer;5271XR;SINT-MICHIELSGESTEL; 845;Sint-Michielsgestel;Noord-Brabant;Bo;Rooms-Katholiek;40848;0;0;2;1;6;1;4;0;6;0;5;0;25
20170415;20170722;03PN;00;Ter Doest;4569AP;GRAAUW; 677;Hulst;Zeeland;Bo;Rooms-Katholiek;40803;0;0;0;0;0;0;0;3;0;8;0;0;11
